episode,env_return,total_return,status
1,3.0,3.0,death
2,2.0,2.0,death
3,2.0,2.0,death
4,2.0,2.0,death
5,3.0,3.0,death
6,4.0,4.0,timeout
7,2.0,2.0,death
8,3.0,3.0,timeout
9,1.0,1.0,death
10,3.0,3.0,death
11,6.0,6.0,timeout
12,1.0,1.0,death
13,5.0,5.0,timeout
14,1.0,1.0,death
15,5.0,5.0,timeout
16,6.0,6.0,timeout
17,2.0,2.0,death
18,3.0,3.0,death
19,3.0,3.0,death
20,3.0,3.0,death
21,1.0,1.0,death
22,4.0,4.0,death
23,1.0,1.0,death
24,2.0,2.0,death
25,1.0,1.0,death
26,1.0,1.0,death
27,3.0,3.0,death
28,3.0,3.0,death
29,3.0,3.0,death
30,2.0,2.0,death
31,1.0,1.0,death
32,2.0,2.0,death
33,2.0,2.0,death
34,4.0,4.0,death
35,2.0,2.0,death
36,1.0,1.0,death
37,2.0,2.0,death
38,2.0,2.0,death
39,1.0,1.0,death
40,0.0,0.0,death
41,2.0,2.0,death
42,6.0,6.0,timeout
43,2.0,2.0,death
44,4.0,4.0,death
45,3.0,3.0,death
46,4.0,4.0,death
47,3.0,3.0,death
48,2.0,2.0,death
49,2.0,2.0,death
50,5.0,5.0,timeout
51,0.0,0.0,death
52,5.0,5.0,timeout
53,1.0,1.0,death
54,2.0,2.0,death
55,4.0,4.0,death
56,8.0,8.0,success
57,4.0,4.0,timeout
58,2.0,2.0,death
59,1.0,1.0,death
60,3.0,3.0,death
61,2.0,2.0,death
62,7.0,7.0,timeout
63,1.0,1.0,death
64,4.0,4.0,timeout
65,3.0,3.0,timeout
66,2.0,2.0,death
67,1.0,1.0,death
68,2.0,2.0,death
69,7.0,7.0,timeout
70,7.0,7.0,death
71,3.0,3.0,death
72,3.0,3.0,death
73,0.0,0.0,death
74,0.0,0.0,death
75,7.0,7.0,timeout
76,3.0,3.0,death
77,2.0,2.0,death
78,4.0,4.0,death
79,8.0,8.0,success
80,3.0,3.0,death
81,2.0,2.0,death
82,8.0,8.0,success
83,2.0,2.0,death
84,2.0,2.0,death
85,4.0,4.0,death
86,2.0,2.0,death
87,3.0,3.0,death
88,1.0,1.0,death
89,2.0,2.0,death
90,5.0,5.0,death
91,1.0,1.0,death
92,8.0,8.0,success
93,3.0,3.0,death
94,3.0,3.0,death
95,2.0,2.0,death
96,3.0,3.0,death
97,3.0,3.0,death
98,3.0,3.0,death
99,1.0,1.0,death
100,3.0,3.0,death
101,4.0,4.0,death
102,2.0,2.0,death
103,4.0,4.0,timeout
104,0.0,0.0,death
105,2.0,2.0,death
106,4.0,4.0,death
107,2.0,2.0,death
108,3.0,3.0,death
109,5.0,5.0,death
110,2.0,2.0,death
111,4.0,4.0,death
112,2.0,2.0,death
113,3.0,3.0,death
114,3.0,3.0,death
115,1.0,1.0,death
116,3.0,3.0,death
117,2.0,2.0,death
118,2.0,2.0,death
119,4.0,4.0,timeout
120,5.0,5.0,timeout
121,7.0,7.0,timeout
122,2.0,2.0,death
123,6.0,6.0,timeout
124,5.0,5.0,timeout
125,2.0,2.0,death
126,2.0,2.0,death
127,2.0,2.0,death
128,2.0,2.0,death
129,3.0,3.0,death
130,3.0,3.0,death
131,1.0,1.0,death
132,2.0,2.0,death
133,5.0,5.0,death
134,3.0,3.0,death
135,1.0,1.0,death
136,2.0,2.0,death
137,4.0,4.0,death
138,2.0,2.0,death
139,2.0,2.0,death
140,3.0,3.0,death
141,1.0,1.0,death
142,3.0,3.0,death
143,3.0,3.0,death
144,3.0,3.0,death
145,3.0,3.0,death
146,4.0,4.0,death
147,3.0,3.0,death
148,7.0,7.0,timeout
149,3.0,3.0,death
150,4.0,4.0,timeout
151,4.0,4.0,timeout
152,2.0,2.0,death
153,3.0,3.0,death
154,3.0,3.0,death
155,3.0,3.0,death
156,3.0,3.0,death
157,7.0,7.0,timeout
158,2.0,2.0,death
159,3.0,3.0,death
160,1.0,1.0,death
161,1.0,1.0,death
162,3.0,3.0,death
163,3.0,3.0,death
164,4.0,4.0,timeout
165,2.0,2.0,death
166,3.0,3.0,death
167,3.0,3.0,death
168,3.0,3.0,death
169,3.0,3.0,death
170,3.0,3.0,death
171,3.0,3.0,death
172,2.0,2.0,death
173,4.0,4.0,death
174,4.0,4.0,death
175,6.0,6.0,timeout
176,7.0,7.0,timeout
177,4.0,4.0,death
178,3.0,3.0,death
179,6.0,6.0,timeout
180,6.0,6.0,timeout
181,3.0,3.0,death
182,4.0,4.0,death
183,3.0,3.0,death
184,7.0,7.0,timeout
185,3.0,3.0,death
186,3.0,3.0,death
187,4.0,4.0,death
188,1.0,1.0,death
189,8.0,8.0,success
190,5.0,5.0,timeout
191,7.0,7.0,death
192,8.0,8.0,success
193,8.0,8.0,success
194,7.0,7.0,death
195,7.0,7.0,death
196,8.0,8.0,success
197,6.0,6.0,death
198,3.0,3.0,death
199,1.0,1.0,death
200,3.0,3.0,death
201,8.0,8.0,success
202,7.0,7.0,death
203,5.0,5.0,death
204,8.0,8.0,success
205,7.0,7.0,timeout
206,2.0,2.0,death
207,7.0,7.0,death
208,8.0,8.0,success
209,5.0,5.0,death
210,5.0,5.0,death
211,7.0,7.0,death
212,4.0,4.0,death
213,8.0,8.0,success
214,3.0,3.0,death
215,8.0,8.0,success
216,2.0,2.0,death
217,8.0,8.0,success
218,2.0,2.0,death
219,8.0,8.0,success
220,8.0,8.0,success
221,8.0,8.0,success
222,7.0,7.0,death
223,8.0,8.0,success
224,7.0,7.0,death
225,5.0,5.0,death
226,2.0,2.0,death
227,5.0,5.0,death
228,5.0,5.0,timeout
229,2.0,2.0,death
230,5.0,5.0,death
231,8.0,8.0,success
232,8.0,8.0,success
233,4.0,4.0,death
234,4.0,4.0,death
235,8.0,8.0,success
236,6.0,6.0,death
237,7.0,7.0,death
238,8.0,8.0,success
239,2.0,2.0,death
240,7.0,7.0,death
241,8.0,8.0,success
242,6.0,6.0,death
243,7.0,7.0,death
244,8.0,8.0,success
245,8.0,8.0,success
246,8.0,8.0,success
247,8.0,8.0,success
248,7.0,7.0,death
249,8.0,8.0,success
250,8.0,8.0,success
251,4.0,4.0,death
252,7.0,7.0,timeout
253,8.0,8.0,success
254,8.0,8.0,success
255,8.0,8.0,success
256,7.0,7.0,timeout
257,8.0,8.0,success
258,4.0,4.0,death
259,8.0,8.0,success
260,8.0,8.0,success
261,7.0,7.0,death
262,8.0,8.0,success
263,8.0,8.0,success
264,6.0,6.0,death
265,4.0,4.0,death
266,5.0,5.0,death
267,8.0,8.0,success
268,7.0,7.0,death
269,8.0,8.0,success
270,7.0,7.0,death
271,5.0,5.0,death
272,5.0,5.0,death
273,8.0,8.0,success
274,6.0,6.0,death
275,8.0,8.0,success
276,8.0,8.0,success
277,8.0,8.0,success
278,7.0,7.0,death
279,8.0,8.0,success
280,2.0,2.0,death
281,8.0,8.0,success
282,4.0,4.0,death
283,5.0,5.0,death
284,7.0,7.0,death
285,8.0,8.0,success
286,6.0,6.0,timeout
287,8.0,8.0,success
288,7.0,7.0,timeout
289,5.0,5.0,death
290,8.0,8.0,success
291,8.0,8.0,success
292,5.0,5.0,timeout
293,8.0,8.0,success
294,5.0,5.0,death
295,8.0,8.0,success
296,8.0,8.0,success
297,8.0,8.0,success
298,8.0,8.0,success
299,8.0,8.0,success
300,4.0,4.0,death
301,8.0,8.0,success
302,8.0,8.0,success
303,6.0,6.0,death
304,8.0,8.0,success
305,8.0,8.0,success
306,8.0,8.0,success
307,8.0,8.0,success
308,7.0,7.0,death
309,8.0,8.0,success
310,8.0,8.0,success
311,8.0,8.0,success
312,8.0,8.0,success
313,8.0,8.0,success
314,8.0,8.0,success
315,8.0,8.0,success
316,8.0,8.0,success
317,8.0,8.0,success
318,8.0,8.0,success
319,8.0,8.0,success
320,8.0,8.0,success
321,8.0,8.0,success
322,8.0,8.0,success
323,8.0,8.0,success
324,8.0,8.0,success
325,8.0,8.0,success
326,5.0,5.0,death
327,8.0,8.0,success
328,7.0,7.0,death
329,8.0,8.0,success
330,5.0,5.0,death
331,5.0,5.0,death
332,8.0,8.0,success
