episode,env_return,total_return,status
1,0.0,0.0,death
2,1.0,1.0,death
3,1.0,1.0,death
4,1.0,1.0,death
5,0.0,0.0,death
6,0.0,0.0,death
7,0.0,0.0,death
8,1.0,1.0,death
9,1.0,1.0,death
10,1.0,1.0,death
11,0.0,0.0,death
12,1.0,1.0,death
13,0.0,0.0,death
14,1.0,1.0,death
15,1.0,1.0,death
16,0.0,0.0,death
17,1.0,1.0,death
18,2.0,2.0,death
19,0.0,0.0,death
20,0.0,0.0,death
21,1.0,1.0,death
22,0.0,0.0,death
23,0.0,0.0,death
24,1.0,1.0,death
25,1.0,1.0,death
26,0.0,0.0,death
27,0.0,0.0,death
28,2.0,2.0,death
29,3.0,3.0,success
30,1.0,1.0,death
31,1.0,1.0,death
32,1.0,1.0,death
33,0.0,0.0,death
34,1.0,1.0,death
35,0.0,0.0,death
36,2.0,2.0,death
37,1.0,1.0,death
38,0.0,0.0,death
39,0.0,0.0,death
40,0.0,0.0,death
41,2.0,2.0,death
42,0.0,0.0,death
43,1.0,1.0,death
44,0.0,0.0,death
45,1.0,1.0,death
46,1.0,1.0,death
47,1.0,1.0,death
48,0.0,0.0,death
49,0.0,0.0,death
50,0.0,0.0,death
51,1.0,1.0,death
52,0.0,0.0,death
53,0.0,0.0,death
54,0.0,0.0,death
55,0.0,0.0,death
56,1.0,1.0,death
57,1.0,1.0,death
58,1.0,1.0,death
59,0.0,0.0,death
60,0.0,0.0,death
61,1.0,1.0,death
62,0.0,0.0,death
63,1.0,1.0,death
64,0.0,0.0,death
65,0.0,0.0,death
66,1.0,1.0,death
67,1.0,1.0,death
68,0.0,0.0,death
69,1.0,1.0,death
70,1.0,1.0,death
71,1.0,1.0,death
72,0.0,0.0,death
73,0.0,0.0,death
74,0.0,0.0,death
75,2.0,2.0,death
76,0.0,0.0,death
77,1.0,1.0,death
78,0.0,0.0,death
79,0.0,0.0,death
80,1.0,1.0,death
81,2.0,2.0,death
82,1.0,1.0,death
83,0.0,0.0,death
84,0.0,0.0,death
85,1.0,1.0,death
86,1.0,1.0,death
87,1.0,1.0,death
88,0.0,0.0,death
89,0.0,0.0,death
90,0.0,0.0,death
91,0.0,0.0,death
92,1.0,1.0,death
93,0.0,0.0,death
94,0.0,0.0,death
95,1.0,1.0,death
96,1.0,1.0,death
97,2.0,2.0,death
98,1.0,1.0,death
99,0.0,0.0,death
100,1.0,1.0,death
101,0.0,0.0,death
102,0.0,0.0,death
103,1.0,1.0,death
104,0.0,0.0,death
105,3.0,3.0,success
106,1.0,1.0,death
107,1.0,1.0,timeout
108,0.0,0.0,death
109,1.0,1.0,death
110,1.0,1.0,death
111,1.0,1.0,death
112,0.0,0.0,death
113,0.0,0.0,death
114,0.0,0.0,death
115,2.0,2.0,death
116,1.0,1.0,death
117,0.0,0.0,death
118,1.0,1.0,death
119,0.0,0.0,death
120,0.0,0.0,death
121,1.0,1.0,death
122,1.0,1.0,death
123,1.0,1.0,death
124,0.0,0.0,death
125,1.0,1.0,death
126,1.0,1.0,death
127,0.0,0.0,death
128,1.0,1.0,death
129,0.0,0.0,death
130,0.0,0.0,death
131,1.0,1.0,death
132,2.0,2.0,death
133,0.0,0.0,death
134,0.0,0.0,death
135,3.0,3.0,success
136,1.0,1.0,death
137,2.0,2.0,death
138,1.0,1.0,death
139,1.0,1.0,death
140,1.0,1.0,death
141,0.0,0.0,death
142,1.0,1.0,death
143,1.0,1.0,death
144,1.0,1.0,death
145,0.0,0.0,death
146,1.0,1.0,death
147,1.0,1.0,death
148,0.0,0.0,death
149,2.0,2.0,death
150,0.0,0.0,death
151,1.0,1.0,death
152,0.0,0.0,death
153,1.0,1.0,death
154,0.0,0.0,death
155,1.0,1.0,death
156,2.0,2.0,death
157,1.0,1.0,death
158,1.0,1.0,death
159,0.0,0.0,death
160,3.0,3.0,success
161,1.0,1.0,death
162,1.0,1.0,death
163,1.0,1.0,death
164,0.0,0.0,death
165,2.0,2.0,death
166,1.0,1.0,death
167,0.0,0.0,death
168,1.0,1.0,death
169,0.0,0.0,death
170,1.0,1.0,death
171,1.0,1.0,death
172,0.0,0.0,death
173,3.0,3.0,success
174,0.0,0.0,death
175,1.0,1.0,death
176,1.0,1.0,death
177,2.0,2.0,death
178,0.0,0.0,death
179,1.0,1.0,death
180,1.0,1.0,death
181,0.0,0.0,death
182,1.0,1.0,death
183,1.0,1.0,death
184,0.0,0.0,death
185,1.0,1.0,death
186,2.0,2.0,death
187,0.0,0.0,death
188,1.0,1.0,death
189,1.0,1.0,death
190,1.0,1.0,death
191,0.0,0.0,death
