episode,env_return,total_return,status
1,5.0,5.0,success
2,3.0,3.0,timeout
3,4.0,4.0,timeout
4,3.0,3.0,timeout
5,5.0,5.0,success
6,2.0,2.0,timeout
7,5.0,5.0,success
8,4.0,4.0,timeout
9,4.0,4.0,timeout
10,5.0,5.0,success
11,2.0,2.0,timeout
12,3.0,3.0,timeout
13,5.0,5.0,success
14,2.0,2.0,timeout
15,5.0,5.0,success
16,4.0,4.0,timeout
17,4.0,4.0,timeout
18,5.0,5.0,success
19,4.0,4.0,timeout
20,4.0,4.0,timeout
21,4.0,4.0,timeout
22,3.0,3.0,timeout
23,5.0,5.0,success
24,5.0,5.0,success
25,5.0,5.0,success
26,5.0,5.0,success
27,5.0,5.0,success
28,5.0,5.0,success
29,5.0,5.0,success
30,2.0,2.0,timeout
31,4.0,4.0,timeout
32,5.0,5.0,success
33,5.0,5.0,success
34,4.0,4.0,timeout
35,2.0,2.0,timeout
36,2.0,2.0,timeout
37,5.0,5.0,success
38,2.0,2.0,timeout
39,2.0,2.0,timeout
40,4.0,4.0,timeout
41,3.0,3.0,timeout
42,4.0,4.0,timeout
43,5.0,5.0,success
44,5.0,5.0,success
45,2.0,2.0,timeout
46,2.0,2.0,timeout
47,5.0,5.0,success
48,4.0,4.0,timeout
49,3.0,3.0,timeout
50,3.0,3.0,timeout
51,4.0,4.0,timeout
52,5.0,5.0,success
53,5.0,5.0,success
54,3.0,3.0,timeout
55,2.0,2.0,timeout
56,4.0,4.0,timeout
57,3.0,3.0,timeout
58,2.0,2.0,timeout
59,5.0,5.0,success
60,3.0,3.0,timeout
61,2.0,2.0,timeout
62,5.0,5.0,success
63,3.0,3.0,timeout
64,3.0,3.0,timeout
65,2.0,2.0,timeout
66,3.0,3.0,timeout
67,5.0,5.0,success
68,3.0,3.0,timeout
69,5.0,5.0,success
70,5.0,5.0,success
71,5.0,5.0,success
72,5.0,5.0,success
73,2.0,2.0,timeout
74,5.0,5.0,success
75,5.0,5.0,success
76,5.0,5.0,success
77,2.0,2.0,timeout
78,5.0,5.0,success
79,4.0,4.0,timeout
80,4.0,4.0,timeout
81,4.0,4.0,timeout
82,2.0,2.0,timeout
83,5.0,5.0,success
84,4.0,4.0,timeout
85,5.0,5.0,success
86,5.0,5.0,success
87,5.0,5.0,success
