episode,env_return,total_return,status
1,3.0,-1.0000000000000029,timeout
2,5.0,1.0000000000000266,timeout
3,3.0,-1.0000000000000029,timeout
4,2.0,-2.000000000000003,timeout
5,6.0,3.059999999999998,success
6,3.0,-1.0000000000000029,timeout
7,3.0,-0.9999999999999952,timeout
8,5.0,1.0000000000000169,timeout
9,2.0,-2.0000000000000027,timeout
10,5.0,1.0000000000000169,timeout
11,4.0,-2.751271432899216e-15,timeout
12,5.0,1.0000000000000169,timeout
13,3.0,-1.0000000000000027,timeout
14,4.0,1.2347761702002913e-14,timeout
15,6.0,2.2000000000000006,success
16,6.0,2.880000000000014,success
17,6.0,4.300000000000006,success
18,5.0,1.0000000000000167,timeout
19,2.0,-1.99999999999996,timeout
20,4.0,-2.3071822230491534e-15,timeout
21,6.0,2.460000000000045,success
22,4.0,8.35095881335235e-15,timeout
23,6.0,5.060000000000004,success
24,4.0,1.9675233664528946e-14,timeout
25,6.0,4.410000000000002,success
26,4.0,-2.9733160378242474e-15,timeout
27,5.0,1.0000000000000144,timeout
28,5.0,0.9999999999999971,timeout
29,1.0,-2.999999999999981,timeout
30,2.0,-2.0000000000000027,timeout
31,6.0,3.5700000000000296,success
32,6.0,3.740000000000018,success
33,6.0,4.920000000000014,success
34,6.0,4.810000000000011,success
35,2.0,-2.000000000000003,timeout
36,6.0,3.7400000000000073,success
37,6.0,3.320000000000052,success
38,4.0,-2.9733160378242474e-15,timeout
39,5.0,1.000000000000016,timeout
40,5.0,1.0000000000000067,timeout
41,6.0,3.9100000000000277,success
42,3.0,-0.9999999999999833,timeout
43,6.0,4.360000000000005,success
44,6.0,4.0699999999999985,success
45,6.0,3.050000000000015,success
46,4.0,2.2339768923629322e-14,timeout
47,6.0,3.4499999999999984,success
48,6.0,2.749999999999998,success
49,6.0,2.0900000000000136,success
50,6.0,3.8800000000000363,success
51,5.0,1.0000000000000142,timeout
52,5.0,0.9999999999999972,timeout
53,6.0,3.590000000000014,success
54,6.0,2.7000000000000335,success
55,5.0,1.0000000000000444,timeout
56,4.0,5.02028973947688e-15,timeout
57,4.0,2.7998436902265667e-15,timeout
58,6.0,4.460000000000002,success
59,4.0,-2.085137618124122e-15,timeout
60,3.0,-1.0000000000000018,timeout
61,5.0,1.0000000000000266,timeout
62,6.0,2.1699999999999973,success
63,4.0,-2.9733160378242474e-15,timeout
64,6.0,4.260000000000023,success
65,6.0,5.1200000000000045,success
66,5.0,1.0000000000000189,timeout
67,5.0,1.0000000000000249,timeout
68,6.0,3.3000000000000487,success
69,6.0,4.049999999999999,success
70,6.0,3.049999999999999,success
71,6.0,2.210000000000007,success
