episode,env_return,total_return,status
1,0.0,0.0,death
2,0.0,0.0,death
3,1.0,1.0,death
4,2.0,2.0,death
5,0.0,0.0,death
6,0.0,0.0,death
7,1.0,1.0,death
8,1.0,1.0,death
9,1.0,1.0,death
10,0.0,0.0,death
11,0.0,0.0,death
12,0.0,0.0,death
13,2.0,2.0,death
14,0.0,0.0,death
15,0.0,0.0,death
16,2.0,2.0,death
17,0.0,0.0,death
18,1.0,1.0,death
19,0.0,0.0,death
20,0.0,0.0,death
21,0.0,0.0,death
22,0.0,0.0,death
23,0.0,0.0,death
24,1.0,1.0,death
25,0.0,0.0,death
26,1.0,1.0,death
27,0.0,0.0,death
28,0.0,0.0,death
29,3.0,3.0,success
30,0.0,0.0,death
31,1.0,1.0,death
32,0.0,0.0,death
33,1.0,1.0,death
34,0.0,0.0,death
35,1.0,1.0,death
36,1.0,1.0,death
37,2.0,2.0,death
38,0.0,0.0,death
39,0.0,0.0,death
40,1.0,1.0,death
41,0.0,0.0,death
42,0.0,0.0,death
43,1.0,1.0,death
44,0.0,0.0,death
45,2.0,2.0,timeout
46,0.0,0.0,death
47,0.0,0.0,death
48,0.0,0.0,death
49,2.0,2.0,death
50,0.0,0.0,death
51,0.0,0.0,death
52,0.0,0.0,death
53,1.0,1.0,death
54,1.0,1.0,death
55,1.0,1.0,death
56,1.0,1.0,death
57,0.0,0.0,death
58,0.0,0.0,death
59,2.0,2.0,death
60,1.0,1.0,death
61,2.0,2.0,death
62,1.0,1.0,death
63,1.0,1.0,death
64,2.0,2.0,death
65,0.0,0.0,death
66,0.0,0.0,death
67,1.0,1.0,death
68,0.0,0.0,death
69,1.0,1.0,death
70,2.0,2.0,death
71,0.0,0.0,death
72,0.0,0.0,death
73,0.0,0.0,death
74,2.0,2.0,death
75,0.0,0.0,death
76,0.0,0.0,death
77,0.0,0.0,death
78,1.0,1.0,death
79,1.0,1.0,death
80,0.0,0.0,death
81,1.0,1.0,death
82,0.0,0.0,death
83,0.0,0.0,death
84,0.0,0.0,death
85,0.0,0.0,death
86,1.0,1.0,death
87,1.0,1.0,death
88,1.0,1.0,death
89,1.0,1.0,death
90,1.0,1.0,death
91,0.0,0.0,death
92,1.0,1.0,death
93,1.0,1.0,death
94,1.0,1.0,death
95,0.0,0.0,death
96,1.0,1.0,death
97,1.0,1.0,death
98,1.0,1.0,death
99,0.0,0.0,death
100,0.0,0.0,death
101,0.0,0.0,death
102,0.0,0.0,death
103,0.0,0.0,death
104,0.0,0.0,death
105,1.0,1.0,death
106,1.0,1.0,death
107,0.0,0.0,death
108,1.0,1.0,death
109,1.0,1.0,death
110,1.0,1.0,death
111,1.0,1.0,death
112,0.0,0.0,death
113,2.0,2.0,death
114,1.0,1.0,death
115,0.0,0.0,death
116,0.0,0.0,death
117,3.0,3.0,success
118,1.0,1.0,death
119,0.0,0.0,death
120,1.0,1.0,death
121,1.0,1.0,death
122,0.0,0.0,death
123,0.0,0.0,death
124,0.0,0.0,death
125,1.0,1.0,death
126,0.0,0.0,death
127,0.0,0.0,death
128,1.0,1.0,death
129,1.0,1.0,death
130,2.0,2.0,death
131,0.0,0.0,death
132,1.0,1.0,death
133,2.0,2.0,death
134,2.0,2.0,death
135,1.0,1.0,death
136,1.0,1.0,death
137,1.0,1.0,death
138,0.0,0.0,death
139,1.0,1.0,death
140,1.0,1.0,death
141,0.0,0.0,death
142,1.0,1.0,death
143,1.0,1.0,death
144,0.0,0.0,death
145,2.0,2.0,death
146,1.0,1.0,death
147,0.0,0.0,death
148,0.0,0.0,death
149,0.0,0.0,death
150,1.0,1.0,death
151,1.0,1.0,death
152,0.0,0.0,death
153,0.0,0.0,death
154,0.0,0.0,death
155,1.0,1.0,death
156,0.0,0.0,death
157,1.0,1.0,death
158,2.0,2.0,death
159,0.0,0.0,death
160,0.0,0.0,death
161,1.0,1.0,death
162,0.0,0.0,death
163,3.0,3.0,success
164,0.0,0.0,death
165,2.0,2.0,death
166,1.0,1.0,death
167,0.0,0.0,death
168,1.0,1.0,death
169,1.0,1.0,death
170,0.0,0.0,death
171,3.0,3.0,success
172,1.0,1.0,death
