episode,env_return,total_return,status
1,3.0,3.0,timeout
2,4.0,4.0,timeout
3,2.0,2.0,timeout
4,5.0,5.0,timeout
5,4.0,4.0,timeout
6,4.0,4.0,timeout
7,1.0,1.0,timeout
8,1.0,1.0,timeout
9,3.0,3.0,timeout
10,5.0,5.0,timeout
11,4.0,4.0,timeout
12,1.0,1.0,timeout
13,1.0,1.0,timeout
14,3.0,3.0,timeout
15,6.0,6.0,success
16,5.0,5.0,timeout
17,1.0,1.0,timeout
18,5.0,5.0,timeout
19,6.0,6.0,success
20,4.0,4.0,timeout
21,0.0,0.0,timeout
22,4.0,4.0,timeout
23,4.0,4.0,timeout
24,1.0,1.0,timeout
25,1.0,1.0,timeout
26,5.0,5.0,timeout
27,4.0,4.0,timeout
28,5.0,5.0,timeout
29,5.0,5.0,timeout
30,2.0,2.0,timeout
31,4.0,4.0,timeout
32,5.0,5.0,timeout
33,2.0,2.0,timeout
34,6.0,6.0,success
35,5.0,5.0,timeout
36,6.0,6.0,success
37,4.0,4.0,timeout
38,4.0,4.0,timeout
39,1.0,1.0,timeout
40,3.0,3.0,timeout
41,5.0,5.0,timeout
42,4.0,4.0,timeout
43,4.0,4.0,timeout
44,2.0,2.0,timeout
45,5.0,5.0,timeout
46,4.0,4.0,timeout
47,3.0,3.0,timeout
48,6.0,6.0,success
49,6.0,6.0,success
50,5.0,5.0,timeout
51,5.0,5.0,timeout
52,4.0,4.0,timeout
53,4.0,4.0,timeout
54,1.0,1.0,timeout
55,6.0,6.0,success
56,6.0,6.0,success
57,4.0,4.0,timeout
58,6.0,6.0,success
59,6.0,6.0,success
60,5.0,5.0,timeout
61,6.0,6.0,success
62,1.0,1.0,timeout
63,3.0,3.0,timeout
64,4.0,4.0,timeout
65,6.0,6.0,success
66,4.0,4.0,timeout
67,4.0,4.0,timeout
68,5.0,5.0,timeout
69,4.0,4.0,timeout
70,5.0,5.0,timeout
71,4.0,4.0,timeout
72,5.0,5.0,timeout
73,5.0,5.0,timeout
74,4.0,4.0,timeout
75,4.0,4.0,timeout
76,6.0,6.0,success
77,4.0,4.0,timeout
78,4.0,4.0,timeout
79,3.0,3.0,timeout
80,5.0,5.0,timeout
81,6.0,6.0,success
82,6.0,6.0,success
83,5.0,5.0,timeout
84,6.0,6.0,success
85,4.0,4.0,timeout
86,5.0,5.0,timeout
87,6.0,6.0,success
88,5.0,5.0,timeout
89,4.0,4.0,timeout
90,4.0,4.0,timeout
91,4.0,4.0,timeout
92,6.0,6.0,success
93,3.0,3.0,timeout
94,6.0,6.0,success
95,5.0,5.0,timeout
96,6.0,6.0,success
97,3.0,3.0,timeout
98,4.0,4.0,timeout
99,6.0,6.0,success
100,6.0,6.0,success
101,6.0,6.0,success
102,6.0,6.0,success
103,2.0,2.0,timeout
104,4.0,4.0,timeout
105,4.0,4.0,timeout
106,6.0,6.0,success
107,5.0,5.0,timeout
108,3.0,3.0,timeout
109,5.0,5.0,timeout
110,4.0,4.0,timeout
111,3.0,3.0,timeout
112,6.0,6.0,success
113,6.0,6.0,success
114,6.0,6.0,success
115,6.0,6.0,success
116,5.0,5.0,timeout
117,6.0,6.0,success
118,6.0,6.0,success
119,6.0,6.0,success
120,6.0,6.0,success
121,1.0,1.0,timeout
122,6.0,6.0,success
123,6.0,6.0,success
124,6.0,6.0,success
125,6.0,6.0,success
126,6.0,6.0,success
127,6.0,6.0,success
128,6.0,6.0,success
129,6.0,6.0,success
130,6.0,6.0,success
131,6.0,6.0,success
132,4.0,4.0,timeout
133,6.0,6.0,success
134,6.0,6.0,success
135,6.0,6.0,success
136,6.0,6.0,success
137,6.0,6.0,success
138,6.0,6.0,success
139,6.0,6.0,success
140,6.0,6.0,success
141,6.0,6.0,success
142,6.0,6.0,success
143,6.0,6.0,success
144,6.0,6.0,success
145,6.0,6.0,success
146,6.0,6.0,success
147,6.0,6.0,success
148,5.0,5.0,timeout
149,6.0,6.0,success
150,6.0,6.0,success
151,6.0,6.0,success
152,6.0,6.0,success
153,6.0,6.0,success
154,6.0,6.0,success
155,6.0,6.0,success
156,6.0,6.0,success
157,6.0,6.0,success
158,6.0,6.0,success
159,6.0,6.0,success
160,6.0,6.0,success
161,6.0,6.0,success
162,4.0,4.0,timeout
163,6.0,6.0,success
164,6.0,6.0,success
165,6.0,6.0,success
166,5.0,5.0,timeout
167,6.0,6.0,success
168,6.0,6.0,success
169,6.0,6.0,success
170,6.0,6.0,success
171,6.0,6.0,success
172,6.0,6.0,success
173,6.0,6.0,success
174,6.0,6.0,success
175,6.0,6.0,success
176,4.0,4.0,timeout
177,6.0,6.0,success
178,6.0,6.0,success
179,6.0,6.0,success
180,6.0,6.0,success
181,6.0,6.0,success
182,6.0,6.0,success
183,6.0,6.0,success
184,6.0,6.0,success
185,6.0,6.0,success
186,6.0,6.0,success
187,6.0,6.0,success
188,6.0,6.0,success
189,5.0,5.0,timeout
190,5.0,5.0,timeout
191,6.0,6.0,success
192,6.0,6.0,success
193,6.0,6.0,success
194,6.0,6.0,success
195,6.0,6.0,success
196,6.0,6.0,success
197,6.0,6.0,success
198,6.0,6.0,success
199,6.0,6.0,success
200,6.0,6.0,success
201,6.0,6.0,success
202,6.0,6.0,success
203,6.0,6.0,success
204,6.0,6.0,success
205,6.0,6.0,success
206,6.0,6.0,success
207,6.0,6.0,success
208,6.0,6.0,success
209,6.0,6.0,success
210,6.0,6.0,success
211,6.0,6.0,success
212,6.0,6.0,success
213,6.0,6.0,success
214,6.0,6.0,success
215,6.0,6.0,success
216,6.0,6.0,success
217,6.0,6.0,success
218,6.0,6.0,success
219,6.0,6.0,success
220,6.0,6.0,success
221,6.0,6.0,success
222,6.0,6.0,success
223,6.0,6.0,success
224,6.0,6.0,success
225,6.0,6.0,success
226,6.0,6.0,success
227,6.0,6.0,success
228,6.0,6.0,success
229,6.0,6.0,success
230,6.0,6.0,success
231,6.0,6.0,success
232,6.0,6.0,success
233,6.0,6.0,success
234,6.0,6.0,success
235,6.0,6.0,success
236,6.0,6.0,success
237,6.0,6.0,success
238,6.0,6.0,success
239,6.0,6.0,success
240,6.0,6.0,success
241,6.0,6.0,success
242,6.0,6.0,success
243,6.0,6.0,success
244,6.0,6.0,success
245,4.0,4.0,timeout
246,6.0,6.0,success
247,6.0,6.0,success
248,6.0,6.0,success
249,6.0,6.0,success
250,6.0,6.0,success
251,6.0,6.0,success
252,6.0,6.0,success
253,6.0,6.0,success
254,6.0,6.0,success
255,6.0,6.0,success
256,6.0,6.0,success
257,6.0,6.0,success
258,6.0,6.0,success
259,6.0,6.0,success
260,6.0,6.0,success
261,6.0,6.0,success
262,6.0,6.0,success
263,6.0,6.0,success
264,6.0,6.0,success
265,6.0,6.0,success
266,6.0,6.0,success
267,6.0,6.0,success
268,6.0,6.0,success
269,6.0,6.0,success
270,6.0,6.0,success
271,6.0,6.0,success
272,6.0,6.0,success
273,6.0,6.0,success
274,6.0,6.0,success
275,6.0,6.0,success
276,6.0,6.0,success
277,6.0,6.0,success
278,6.0,6.0,success
279,6.0,6.0,success
280,6.0,6.0,success
281,6.0,6.0,success
282,6.0,6.0,success
283,6.0,6.0,success
284,6.0,6.0,success
285,6.0,6.0,success
286,6.0,6.0,success
287,6.0,6.0,success
288,6.0,6.0,success
289,6.0,6.0,success
290,6.0,6.0,success
291,6.0,6.0,success
292,6.0,6.0,success
293,6.0,6.0,success
294,6.0,6.0,success
295,6.0,6.0,success
296,6.0,6.0,success
297,6.0,6.0,success
298,6.0,6.0,success
299,6.0,6.0,success
300,6.0,6.0,success
301,6.0,6.0,success
302,6.0,6.0,success
303,6.0,6.0,success
304,6.0,6.0,success
305,6.0,6.0,success
306,6.0,6.0,success
307,6.0,6.0,success
308,6.0,6.0,success
309,6.0,6.0,success
310,6.0,6.0,success
311,6.0,6.0,success
312,6.0,6.0,success
313,6.0,6.0,success
314,6.0,6.0,success
315,6.0,6.0,success
316,6.0,6.0,success
317,6.0,6.0,success
318,6.0,6.0,success
319,6.0,6.0,success
320,6.0,6.0,success
321,6.0,6.0,success
322,6.0,6.0,success
323,6.0,6.0,success
324,6.0,6.0,success
325,6.0,6.0,success
326,6.0,6.0,success
327,6.0,6.0,success
328,6.0,6.0,success
329,6.0,6.0,success
330,6.0,6.0,success
331,6.0,6.0,success
332,6.0,6.0,success
333,6.0,6.0,success
334,6.0,6.0,success
335,6.0,6.0,success
336,6.0,6.0,success
337,6.0,6.0,success
338,6.0,6.0,success
339,6.0,6.0,success
340,6.0,6.0,success
341,6.0,6.0,success
342,6.0,6.0,success
343,6.0,6.0,success
344,6.0,6.0,success
345,6.0,6.0,success
346,6.0,6.0,success
347,6.0,6.0,success
348,6.0,6.0,success
349,6.0,6.0,success
350,6.0,6.0,success
351,6.0,6.0,success
352,6.0,6.0,success
353,6.0,6.0,success
354,6.0,6.0,success
355,6.0,6.0,success
356,6.0,6.0,success
357,6.0,6.0,success
358,6.0,6.0,success
359,6.0,6.0,success
360,6.0,6.0,success
361,6.0,6.0,success
362,6.0,6.0,success
363,6.0,6.0,success
364,6.0,6.0,success
365,6.0,6.0,success
366,6.0,6.0,success
367,6.0,6.0,success
368,6.0,6.0,success
369,6.0,6.0,success
370,6.0,6.0,success
371,6.0,6.0,success
372,6.0,6.0,success
373,6.0,6.0,success
374,6.0,6.0,success
375,6.0,6.0,success
376,6.0,6.0,success
377,6.0,6.0,success
378,6.0,6.0,success
379,6.0,6.0,success
380,6.0,6.0,success
381,6.0,6.0,success
382,6.0,6.0,success
383,6.0,6.0,success
384,6.0,6.0,success
385,6.0,6.0,success
386,6.0,6.0,success
387,6.0,6.0,success
388,6.0,6.0,success
389,6.0,6.0,success
390,6.0,6.0,success
391,6.0,6.0,success
392,6.0,6.0,success
393,6.0,6.0,success
394,6.0,6.0,success
395,6.0,6.0,success
396,6.0,6.0,success
397,6.0,6.0,success
398,6.0,6.0,success
399,6.0,6.0,success
400,6.0,6.0,success
401,6.0,6.0,success
402,6.0,6.0,success
403,6.0,6.0,success
404,6.0,6.0,success
405,6.0,6.0,success
406,6.0,6.0,success
407,6.0,6.0,success
408,6.0,6.0,success
409,6.0,6.0,success
410,6.0,6.0,success
411,6.0,6.0,success
412,6.0,6.0,success
413,6.0,6.0,success
414,6.0,6.0,success
415,6.0,6.0,success
416,6.0,6.0,success
417,6.0,6.0,success
418,6.0,6.0,success
419,6.0,6.0,success
420,6.0,6.0,success
421,6.0,6.0,success
422,6.0,6.0,success
423,6.0,6.0,success
424,6.0,6.0,success
425,6.0,6.0,success
426,6.0,6.0,success
427,6.0,6.0,success
428,6.0,6.0,success
429,6.0,6.0,success
430,6.0,6.0,success
431,6.0,6.0,success
432,6.0,6.0,success
433,6.0,6.0,success
434,6.0,6.0,success
435,6.0,6.0,success
436,6.0,6.0,success
437,6.0,6.0,success
438,6.0,6.0,success
439,6.0,6.0,success
440,6.0,6.0,success
441,6.0,6.0,success
442,6.0,6.0,success
443,6.0,6.0,success
444,6.0,6.0,success
445,6.0,6.0,success
446,6.0,6.0,success
447,6.0,6.0,success
448,6.0,6.0,success
449,6.0,6.0,success
450,6.0,6.0,success
451,6.0,6.0,success
452,6.0,6.0,success
453,6.0,6.0,success
454,6.0,6.0,success
455,6.0,6.0,success
456,6.0,6.0,success
457,6.0,6.0,success
458,6.0,6.0,success
459,6.0,6.0,success
460,6.0,6.0,success
461,6.0,6.0,success
462,6.0,6.0,success
463,6.0,6.0,success
464,6.0,6.0,success
465,6.0,6.0,success
466,6.0,6.0,success
467,6.0,6.0,success
468,6.0,6.0,success
469,6.0,6.0,success
470,6.0,6.0,success
471,6.0,6.0,success
472,6.0,6.0,success
473,6.0,6.0,success
474,6.0,6.0,success
475,6.0,6.0,success
476,6.0,6.0,success
477,6.0,6.0,success
478,6.0,6.0,success
479,6.0,6.0,success
480,6.0,6.0,success
481,6.0,6.0,success
482,6.0,6.0,success
483,6.0,6.0,success
484,6.0,6.0,success
485,6.0,6.0,success
486,6.0,6.0,success
487,6.0,6.0,success
488,6.0,6.0,success
489,6.0,6.0,success
490,6.0,6.0,success
491,6.0,6.0,success
492,6.0,6.0,success
493,6.0,6.0,success
494,6.0,6.0,success
495,6.0,6.0,success
496,6.0,6.0,success
497,6.0,6.0,success
498,6.0,6.0,success
499,6.0,6.0,success
500,6.0,6.0,success
501,6.0,6.0,success
502,6.0,6.0,success
503,6.0,6.0,success
504,6.0,6.0,success
505,6.0,6.0,success
506,6.0,6.0,success
507,6.0,6.0,success
508,6.0,6.0,success
509,6.0,6.0,success
510,6.0,6.0,success
511,6.0,6.0,success
512,6.0,6.0,success
513,6.0,6.0,success
514,6.0,6.0,success
515,6.0,6.0,success
516,6.0,6.0,success
517,6.0,6.0,success
518,6.0,6.0,success
519,6.0,6.0,success
520,6.0,6.0,success
521,6.0,6.0,success
522,6.0,6.0,success
523,6.0,6.0,success
524,6.0,6.0,success
525,6.0,6.0,success
526,6.0,6.0,success
527,6.0,6.0,success
528,6.0,6.0,success
529,6.0,6.0,success
530,6.0,6.0,success
531,6.0,6.0,success
532,6.0,6.0,success
533,6.0,6.0,success
534,6.0,6.0,success
535,6.0,6.0,success
536,6.0,6.0,success
537,6.0,6.0,success
538,6.0,6.0,success
539,6.0,6.0,success
540,6.0,6.0,success
541,6.0,6.0,success
542,6.0,6.0,success
543,6.0,6.0,success
