episode,return,status
1,44.08410057887119,timeout
2,47.40459196322449,timeout
3,42.441112214754845,success
4,48.37047408430118,timeout
5,48.34434349317647,timeout
6,44.07788494952349,timeout
7,45.82431295781684,timeout
8,45.26370665873032,timeout
9,46.48972201375415,timeout
10,46.45548437433701,timeout
11,30.551746885043553,success
12,41.65616770161032,timeout
13,43.888464034346704,timeout
14,42.24401734686057,timeout
15,47.37136564620336,timeout
16,47.941922981578685,timeout
17,26.669874462765172,success
18,45.39730412576695,timeout
19,43.74473595142257,timeout
20,39.94491668101347,timeout
21,47.74787710808516,timeout
22,40.21000505960588,success
23,34.31551443283617,success
24,47.23990257138068,timeout
25,41.4984842277087,timeout
26,44.05859584551667,success
27,49.2882074524541,timeout
28,46.397062559874364,timeout
29,44.398196147865654,timeout
30,50.52139120411556,timeout
31,43.23116176478782,timeout
32,41.43108104538124,success
33,45.89774532538045,timeout
34,38.169162361733825,timeout
35,42.946989094328806,timeout
36,34.07262227446425,success
37,44.277633744758134,timeout
38,46.6296122748857,success
39,29.171266444761955,success
40,41.389207543653924,timeout
41,42.91183515054609,success
42,43.536172472236046,timeout
43,43.19891653339605,timeout
44,43.582611186113624,timeout
45,47.27054768130212,timeout
46,35.17963525683069,success
47,44.42405043200263,timeout
48,41.743907231473315,success
49,40.86097770410283,timeout
50,42.79417450631439,success
51,38.80966456793997,timeout
52,43.85347979966314,timeout
53,44.93819412895736,timeout
54,39.30237399750572,success
55,41.645142276941066,timeout
56,21.392203460645487,success
57,27.58174132826681,success
58,27.59846446781944,success
59,42.56580623368664,timeout
60,29.927884092750848,success
61,28.815732064881907,success
62,47.34278959143102,timeout
63,42.98660119500293,timeout
64,39.54376317013689,timeout
65,37.872559100813454,success
66,36.70062191148399,timeout
67,35.066258044557586,timeout
68,20.37801880123034,success
69,35.561119079642175,timeout
70,19.23117834770976,success
71,40.99012464838161,timeout
72,43.46152525664172,timeout
73,43.24288461173417,timeout
74,34.64296235140467,success
75,48.01283178227512,timeout
76,21.477800894125878,success
77,47.10018243897052,timeout
78,34.40178684422127,timeout
79,45.940834386206056,success
80,35.45636311349886,timeout
81,30.570272357523056,success
82,46.73010018846489,timeout
83,45.53566393685092,timeout
84,33.46831472446691,timeout
85,45.34446988141787,timeout
86,46.361093271257786,success
87,41.56479024928522,success
88,34.933123190530914,timeout
89,43.11435363072779,timeout
90,47.050060765975466,timeout
91,45.274173037772194,success
92,47.9599910552875,timeout
93,34.35171770565285,success
94,45.97401198394726,timeout
95,46.20511311443858,timeout
96,41.044913205267974,timeout
97,36.33936859569511,timeout
98,19.166658537736513,success
99,36.46351146192661,timeout
100,38.88388210864467,success
101,40.65916765124525,timeout
102,41.41506544807872,success
103,38.013738424767155,timeout
104,41.45740957731229,timeout
105,44.8494948642519,timeout
106,38.96396780727983,success
107,36.33612375519084,timeout
108,41.40349196925115,success
109,26.9895046132221,success
110,39.64679804609089,timeout
111,30.602143573246988,success
112,35.56163293620272,timeout
113,32.216088815029444,timeout
114,40.75241136356857,timeout
115,39.898211756088756,timeout
116,45.53904063841893,timeout
117,44.08337696612896,timeout
118,35.06653662914224,timeout
119,34.01786904962386,success
120,37.81459688575356,timeout
121,36.490889256956784,timeout
122,39.5959243750688,success
123,39.17624080629504,success
124,37.22416012575908,timeout
125,13.11193061618783,success
126,28.022837780414125,success
127,32.15625464064388,success
128,46.014702096551865,timeout
129,33.30107802693251,success
130,46.73044581662827,timeout
131,37.64900791212432,timeout
132,26.69069083081757,success
133,20.324577772082318,success
134,31.965349587409627,success
135,24.68786818369124,success
136,44.16962112490913,success
137,24.498319770583436,success
138,36.58017374938477,timeout
139,20.419715267748487,success
140,31.93998164582095,success
141,38.552191929822136,success
142,40.80721091771404,success
143,21.59548322182351,success
144,46.576140228757154,timeout
145,29.902296437028596,success
146,32.52354993163033,success
147,29.536078985361645,success
148,27.81228841365822,success
149,23.78632062386428,success
150,45.591676286533655,timeout
151,38.77155286927211,success
152,39.641075202543206,timeout
153,46.34889758327446,timeout
154,30.385578393045538,success
155,45.55754606495903,timeout
156,15.938239765023928,success
157,21.06112172523702,success
158,44.13554397872934,timeout
159,28.510304075628802,success
160,44.060130738107965,timeout
161,17.747645768646006,success
162,23.221605842103966,success
163,17.051304394972945,success
164,25.50358928065071,success
165,21.626195732499568,success
166,39.93808686684181,success
167,22.75168829140969,success
168,36.99054209370901,success
169,24.912992909112244,success
170,19.856445401348342,success
171,32.82112057954378,success
172,35.02939759568266,success
173,15.60215835668247,success
174,29.87192271250629,success
175,27.68860761041584,success
176,29.309593488996857,success
177,40.31380974586572,timeout
178,30.53663580220144,success
179,10.645362588361214,success
180,16.76468838328157,success
181,22.004193748482592,success
182,46.01518199273029,timeout
183,33.186044338667486,success
184,16.681829864904877,success
185,33.24027700858579,timeout
186,17.66497362822259,success
187,23.365293745726902,success
188,15.826354756085523,success
189,13.412931570054612,success
190,32.008321776762706,success
191,21.709374854235456,success
192,17.297342252580286,success
193,35.31868145934736,timeout
194,23.262612267739136,success
195,14.517350163686917,success
196,35.3055713028916,success
197,18.998668238835496,success
198,21.93099409525002,success
199,26.324265871877625,success
200,14.862213646923767,success
201,22.516702077653147,success
202,19.90164505392448,success
203,16.69494020193374,success
204,17.176964560993074,success
205,28.830956957781893,success
206,14.333873645382992,success
207,12.697955695522296,success
208,28.47124404383881,success
209,17.772750663131397,success
210,22.21123005616269,success
211,21.823058905058783,success
212,19.461785349244195,success
213,13.995008284319068,success
214,13.834659515889395,success
215,19.63344767154406,success
216,10.250931063984757,success
217,15.32556450821384,success
218,13.044481925212585,success
219,21.451563742036182,success
220,30.654313242190277,success
221,17.639746139525833,success
222,16.803267006011843,success
223,12.574960713530766,success
224,29.105317970118193,success
225,12.484029838685602,success
226,24.795182643063573,success
227,21.551842327081907,success
228,34.582522808108465,success
229,15.545456565846605,success
230,17.058334037151617,success
231,29.4168071636845,success
232,23.514979232969136,success
233,29.77630131179009,success
234,21.476276514169896,success
235,38.351955800951494,success
236,11.817343459869583,success
237,35.600177473533236,success
238,16.629614926914435,success
239,18.795515890763124,success
240,12.95892044804868,success
241,27.652082529458973,success
242,18.49080545228293,success
243,17.11631227753224,success
244,12.186718046920161,success
245,21.14618128857177,success
246,14.390062770219462,success
247,25.55308117651235,success
248,24.91566828608686,success
249,16.120012038008387,success
250,13.802383317145475,success
251,36.64275357854275,success
252,18.030227522011387,success
253,18.490807065595618,success
254,18.962870474559196,success
255,35.15083608466514,success
256,27.995535144170006,success
257,13.080787584371862,success
258,26.48555979468105,success
259,26.54915167665792,success
260,20.600026430383497,success
261,23.770378533353952,success
262,20.56915900879447,success
263,11.085096710911069,success
264,41.53243012830951,timeout
265,18.87322344122437,success
266,10.924248026561196,success
267,20.936754810855202,success
268,20.874127906097225,success
269,13.99708092381189,success
270,12.467091620184997,success
271,16.427786472855253,success
272,19.86401741752192,success
273,20.640287713763694,success
274,21.08419771910897,success
275,30.804121126149152,success
276,22.75260975156239,success
277,11.674539430011057,success
278,21.1757082842309,success
279,24.195310157330084,success
280,39.03206536346209,timeout
281,23.7997829454549,success
282,10.985172743249615,success
283,13.598300946703455,success
284,23.5037136792334,success
285,12.196924185200787,success
286,16.320585837597566,success
287,18.408121802592955,success
288,17.64396454854654,success
289,21.88836976266399,success
290,27.936817047531484,success
291,22.05495451139792,success
292,15.958760492120817,success
293,20.24912341373923,success
294,16.291325965501624,success
295,21.051864821904854,success
296,14.634248346349553,success
297,14.015431265719123,success
298,20.063521767861477,success
299,18.772402241709692,success
300,21.64171990898259,success
301,31.620074679701375,success
302,17.188564896342008,success
303,28.097397919549195,success
304,37.15947642699602,timeout
305,32.289558189499374,success
306,16.18463529774505,success
307,20.74584335538263,success
308,26.36584573191829,success
309,15.035080799409101,success
310,12.772004393122913,success
311,13.547560839831807,success
312,42.88607133909163,timeout
313,21.14303347234317,success
314,25.511340440369615,success
315,11.791010437715766,success
316,10.336568573487213,success
317,18.10232209222458,success
318,15.168198215627372,success
319,15.359430359162493,success
320,16.603696662245476,success
321,12.586424310478971,success
322,19.91956969411087,success
323,12.888819566019784,success
324,18.44910435581952,success
325,11.717962714662258,success
326,13.110689549618916,success
327,19.010081707569707,success
328,11.775454892836377,success
329,25.926186397055353,success
330,12.364488923672223,success
331,12.014349584899458,success
332,26.185362419482427,success
333,11.109778926590053,success
334,10.497265193159985,success
335,20.873565316590227,success
336,12.632013646986008,success
337,20.198069821693053,success
338,24.013188003732967,success
339,14.950835422230776,success
340,34.12361305911657,success
341,26.991392517573512,success
342,21.33589485213245,success
343,31.30188028307273,success
344,13.231013779108224,success
345,11.886891640061116,success
346,12.204793257866237,success
347,36.50205429900373,success
348,32.5392530172445,success
349,16.427538988867866,success
350,14.219779267058733,success
351,16.70905195910592,success
352,32.07756181467299,success
353,31.30854268179478,success
354,10.871389923099146,success
355,15.761844563785539,success
356,12.264602510573042,success
357,19.23432980930916,success
358,14.771674873749962,success
359,20.005008429960736,success
360,10.96970268941169,success
361,21.795559552739352,success
362,11.64570783954237,success
363,11.483409477223608,success
364,15.312826536788902,success
365,13.506606673710067,success
366,14.719159991585741,success
367,12.432013646986015,success
368,17.97044169337557,success
369,40.49999504541844,timeout
370,13.073405553437913,success
371,27.002003796335625,success
372,21.627945089039873,success
373,17.67205166926891,success
374,20.67460616739591,success
375,13.223631768854599,success
376,32.8830339282182,success
377,19.635455358389148,success
378,10.050931063984756,success
379,22.597104848125,success
380,37.992551798500976,timeout
381,40.243607090180895,timeout
382,30.025673468135956,success
383,16.823154201986124,success
384,39.77184495996127,timeout
385,14.700344940838628,success
386,36.44239925161888,success
387,34.605994623585374,success
388,9.879677163411976,success
389,14.080381367699173,success
390,17.472558583296653,success
391,30.168530101069074,success
392,17.43867072444165,success
393,15.26068793661632,success
394,21.302528020411025,success
395,23.346598512301433,success
396,19.299655485907973,success
397,13.585293033967769,success
398,21.99578084322376,success
399,22.17354244545267,success
400,21.91076173649102,success
401,10.813086389617288,success
402,10.749243830297301,success
403,9.58516960669697,success
404,13.848632385991277,success
405,20.284606592594915,success
406,20.24259172229837,success
407,16.49701235564672,success
408,32.164706433776644,success
409,11.98989329688622,success
410,10.671313890760599,success
411,13.983185623429923,success
412,9.842061016772204,success
413,9.537148243834288,success
414,10.681871171660609,success
415,35.78975791820396,success
416,15.91416024272143,success
417,14.771848623552007,success
418,13.41871179480732,success
419,20.887234044630077,success
420,9.1713867865465,success
421,10.447974743576903,success
422,14.340855351082467,success
423,13.503643375874999,success
424,13.888310934389242,success
425,20.968448288483078,success
426,10.710617271087827,success
427,12.086711048812623,success
428,12.683792282967032,success
429,14.975117014708166,success
430,13.224134976151081,success
431,16.857454347437503,success
432,17.791381153108077,success
433,25.645696648460603,success
434,17.582354599318993,success
435,20.81993870128825,success
436,10.09895242684744,success
437,14.162918413438225,success
438,13.360919416891413,success
439,11.943095684326677,success
440,20.828445075145613,success
441,26.89643468449971,success
442,26.10104585402631,success
443,11.456350611483845,success
444,22.8706815702966,success
445,39.88213093310645,timeout
446,11.423637779079073,success
447,18.080601405764153,success
448,16.62439145604703,success
449,10.928129268497282,success
450,10.05760710294868,success
451,11.00225399843645,success
452,26.924438140506624,success
453,10.598836239884676,success
454,10.969546918003331,success
455,19.96075791315389,success
456,21.194238422997827,success
457,15.059772473791003,success
458,12.937174560904907,success
459,26.306579084966124,success
460,9.238835477521745,success
461,22.05997622083452,success
462,28.206623387806165,success
463,31.65606931502866,success
464,10.61933525362328,success
465,10.912735246997906,success
466,21.20517417322137,success
467,24.421544232288895,success
468,24.000929206064086,success
469,18.88105239478938,success
470,21.920594352914684,success
471,12.842619737430285,success
472,19.99614578660858,success
473,15.569924363619705,success
474,12.355381320741106,success
475,19.532360117742666,success
476,11.485096710911066,success
477,16.799470910290584,success
