episode,env_return,total_return,status
1,1.0,1.0,death
2,2.0,2.0,death
3,1.0,1.0,death
4,2.0,2.0,death
5,1.0,1.0,death
6,0.0,0.0,death
7,3.0,3.0,death
8,5.0,5.0,timeout
9,2.0,2.0,death
10,2.0,2.0,death
11,2.0,2.0,death
12,3.0,3.0,death
13,2.0,2.0,death
14,1.0,1.0,death
15,3.0,3.0,death
16,4.0,4.0,death
17,4.0,4.0,death
18,3.0,3.0,death
19,3.0,3.0,death
20,1.0,1.0,death
21,3.0,3.0,death
22,2.0,2.0,death
23,1.0,1.0,death
24,2.0,2.0,death
25,3.0,3.0,death
26,6.0,6.0,death
27,3.0,3.0,death
28,1.0,1.0,death
29,5.0,5.0,timeout
30,2.0,2.0,death
31,4.0,4.0,death
32,3.0,3.0,timeout
33,5.0,5.0,timeout
34,1.0,1.0,death
35,1.0,1.0,death
36,1.0,1.0,death
37,2.0,2.0,death
38,4.0,4.0,death
39,1.0,1.0,death
40,2.0,2.0,death
41,4.0,4.0,timeout
42,3.0,3.0,death
43,2.0,2.0,death
44,0.0,0.0,death
45,4.0,4.0,death
46,5.0,5.0,death
47,2.0,2.0,death
48,3.0,3.0,death
49,4.0,4.0,death
50,5.0,5.0,timeout
51,7.0,7.0,timeout
52,1.0,1.0,death
53,0.0,0.0,death
54,2.0,2.0,death
55,2.0,2.0,death
56,1.0,1.0,death
57,2.0,2.0,death
58,3.0,3.0,death
59,2.0,2.0,death
60,1.0,1.0,death
61,2.0,2.0,death
62,2.0,2.0,death
63,1.0,1.0,death
64,1.0,1.0,death
65,6.0,6.0,death
66,5.0,5.0,death
67,1.0,1.0,death
68,5.0,5.0,death
69,1.0,1.0,death
70,1.0,1.0,death
71,4.0,4.0,death
72,7.0,7.0,death
73,5.0,5.0,death
74,4.0,4.0,death
75,1.0,1.0,death
76,3.0,3.0,death
77,6.0,6.0,timeout
78,3.0,3.0,death
79,3.0,3.0,timeout
80,3.0,3.0,death
81,6.0,6.0,death
82,0.0,0.0,death
83,6.0,6.0,death
84,5.0,5.0,timeout
85,6.0,6.0,timeout
86,2.0,2.0,death
87,0.0,0.0,death
88,5.0,5.0,death
89,2.0,2.0,death
90,3.0,3.0,timeout
91,2.0,2.0,death
92,2.0,2.0,death
93,3.0,3.0,death
94,5.0,5.0,timeout
95,3.0,3.0,death
96,6.0,6.0,timeout
97,1.0,1.0,death
98,3.0,3.0,death
99,5.0,5.0,timeout
100,4.0,4.0,death
101,3.0,3.0,death
102,3.0,3.0,timeout
103,4.0,4.0,death
104,2.0,2.0,death
105,3.0,3.0,timeout
106,5.0,5.0,death
107,2.0,2.0,death
108,3.0,3.0,death
109,2.0,2.0,death
110,4.0,4.0,death
111,1.0,1.0,death
112,1.0,1.0,death
113,2.0,2.0,death
114,5.0,5.0,timeout
115,4.0,4.0,death
116,2.0,2.0,death
117,2.0,2.0,death
118,0.0,0.0,death
119,0.0,0.0,death
120,4.0,4.0,death
121,2.0,2.0,death
122,1.0,1.0,death
123,7.0,7.0,timeout
124,5.0,5.0,timeout
125,5.0,5.0,death
126,4.0,4.0,death
127,5.0,5.0,death
128,4.0,4.0,timeout
129,3.0,3.0,death
130,1.0,1.0,death
131,3.0,3.0,death
132,4.0,4.0,death
133,2.0,2.0,death
134,3.0,3.0,death
135,6.0,6.0,death
136,3.0,3.0,death
137,6.0,6.0,timeout
138,5.0,5.0,death
139,5.0,5.0,timeout
140,5.0,5.0,timeout
141,3.0,3.0,death
142,4.0,4.0,death
143,3.0,3.0,death
144,3.0,3.0,death
145,3.0,3.0,timeout
146,4.0,4.0,death
147,1.0,1.0,death
148,4.0,4.0,death
149,5.0,5.0,timeout
150,2.0,2.0,death
151,5.0,5.0,death
152,4.0,4.0,death
153,5.0,5.0,death
154,5.0,5.0,timeout
155,4.0,4.0,timeout
156,5.0,5.0,death
157,2.0,2.0,death
158,4.0,4.0,timeout
159,2.0,2.0,death
160,8.0,8.0,success
161,3.0,3.0,timeout
162,4.0,4.0,timeout
163,4.0,4.0,death
164,4.0,4.0,death
165,1.0,1.0,death
166,5.0,5.0,death
167,1.0,1.0,death
168,5.0,5.0,death
169,1.0,1.0,death
