episode,env_return,total_return,status
260,6.0,6.0,timeout
261,4.0,4.0,death
262,5.0,5.0,death
263,6.0,6.0,timeout
264,4.0,4.0,death
265,6.0,6.0,death
266,4.0,4.0,death
267,3.0,3.0,death
268,4.0,4.0,death
269,5.0,5.0,death
270,2.0,2.0,death
271,4.0,4.0,death
272,3.0,3.0,death
273,5.0,5.0,death
274,5.0,5.0,death
275,6.0,6.0,death
276,6.0,6.0,timeout
277,3.0,3.0,death
278,5.0,5.0,death
279,5.0,5.0,death
280,5.0,5.0,death
281,5.0,5.0,death
282,5.0,5.0,death
283,3.0,3.0,death
284,5.0,5.0,death
285,5.0,5.0,timeout
286,5.0,5.0,timeout
287,5.0,5.0,death
288,4.0,4.0,death
289,5.0,5.0,death
290,5.0,5.0,death
291,7.0,7.0,death
292,5.0,5.0,death
293,5.0,5.0,death
294,5.0,5.0,death
295,4.0,4.0,death
296,4.0,4.0,death
297,5.0,5.0,death
298,6.0,6.0,timeout
299,5.0,5.0,timeout
300,4.0,4.0,death
301,6.0,6.0,timeout
302,4.0,4.0,death
303,8.0,8.0,success
304,6.0,6.0,timeout
305,4.0,4.0,death
306,5.0,5.0,timeout
307,5.0,5.0,timeout
308,6.0,6.0,timeout
309,5.0,5.0,death
310,4.0,4.0,death
311,5.0,5.0,death
312,5.0,5.0,timeout
313,5.0,5.0,death
314,5.0,5.0,death
315,5.0,5.0,death
316,6.0,6.0,death
317,6.0,6.0,timeout
318,5.0,5.0,death
319,5.0,5.0,death
320,6.0,6.0,death
321,5.0,5.0,death
322,5.0,5.0,timeout
323,5.0,5.0,death
324,5.0,5.0,death
325,5.0,5.0,timeout
326,5.0,5.0,death
327,5.0,5.0,death
328,8.0,8.0,success
329,6.0,6.0,death
330,5.0,5.0,death
331,5.0,5.0,death
332,6.0,6.0,death
333,5.0,5.0,timeout
334,5.0,5.0,timeout
335,6.0,6.0,death
336,3.0,3.0,death
337,6.0,6.0,death
338,6.0,6.0,death
339,6.0,6.0,death
340,6.0,6.0,death
341,3.0,3.0,death
